mid,formula,nsites,pred_log_sigma
mp:409,LiHPd,3,-3.732402801513672
mp:1143,LiFe2F9,24,-3.7342286109924316
mp:2050,LiFeF5,28,-3.738452434539795
mp:5236,Ba2LiMn2(P2O7)2,23,-3.7390027046203613
mp:15192,Li6Ti3Cr(PO4)6,40,-3.741361141204834
mp:109,LiTm3,8,-3.742739677429199
mp:4681,LiTi(PO3)5,44,-3.743772506713867
mp:4575,LiNi(PO3)3,56,-3.7483043670654297
mp:8695,Li2Mg3Ti6O16,54,-3.7490434646606445
mp:2118,LiNb3Cl8,48,-3.7490673065185547
mp:9074,LiMg30TiO32,64,-3.752047061920166
mp:4226,LiHo2Ta2O8,13,-3.7532753944396973
mp:1837,LiHS,6,-3.753965377807617
mp:2080,LiHoSn2,8,-3.754054546356201
mp:15134,Li6AsS5I,26,-3.754446506500244
mp:2152,Ba2LiGe3,24,-3.7545666694641113
mp:6687,Li2CdPt,4,-3.7548699378967285
mp:6968,Li2Fe3F8,26,-3.756657123565674
mp:811,LiZrS2,4,-3.7573113441467285
mp:10793,Li3Cu2F8,13,-3.7586669921875
mp:3218,LiNd2(HO)6,15,-3.759305953979492
mp:386,LiFeF4,24,-3.7593278884887695
mp:12076,Li4TiS4,9,-3.760267734527588
mp:14950,Li6FeS4,11,-3.760721206665039
mp:6298,Li2H2Pd,5,-3.761098861694336
mp:5579,LiTiPO4F,16,-3.7619214057922363
mp:6573,Li2Cu2F5,18,-3.76308012008667
mp:770,LiCu2F5,16,-3.7630934715270996
mp:9060,LiMg30CO32,64,-3.766937255859375
mp:12802,Li4Ti3NbO8,16,-3.7675914764404297
mp:4663,LiNi2P5O16,48,-3.7676029205322266
mp:4482,LiB(CO2)4,56,-3.768246650695801
mp:10983,Li3MnF7,11,-3.7744956016540527
mp:6452,Li2FeS2,5,-3.7756171226501465
mp:2253,LiFeF3,80,-3.7763671875
mp:12430,Li4Co3OF11,19,-3.7772769927978516
mp:15088,Li6PS5Br,13,-3.779750347137451
mp:6796,Li2SnPt,4,-3.7801856994628906
mp:11160,Li3CuF6,40,-3.7806220054626465
mp:5887,K2LiNd4Nb2O12,21,-3.780898094177246
mp:12182,Li4Ti5S12,42,-3.7813668251037598
mp:710,LiTi8O13,22,-3.7837729454040527
